folder_path,label
D:\processed_faces\fake\498_433,1
D:\processed_faces\real\546,0
D:\processed_faces\real\id0_0009,0
D:\processed_faces\real\00201,0
D:\processed_faces\fake\id7_id12_0007,1
D:\processed_faces\real\675,0
D:\processed_faces\fake\658_627,1
D:\processed_faces\fake\554_572,1
D:\processed_faces\real\483,0
D:\processed_faces\real\562,0
D:\processed_faces\real\128,0
D:\processed_faces\fake\01_11__exit_phone_room__4OJNJLOO,1
D:\processed_faces\real\id57_0005,0
D:\processed_faces\fake\175_159,1
D:\processed_faces\real\04__outside_talking_still_laughing,0
D:\processed_faces\real\28__kitchen_pan,0
D:\processed_faces\fake\856_881,1
D:\processed_faces\real\id55_0004,0
D:\processed_faces\fake\971_564,1
D:\processed_faces\real\id57_0003,0
D:\processed_faces\real\id49_0002,0
D:\processed_faces\real\id43_0005,0
D:\processed_faces\fake\id1_id21_0003,1
D:\processed_faces\real\018,0
D:\processed_faces\fake\id1_id20_0006,1
D:\processed_faces\fake\814_871,1
D:\processed_faces\real\id32_0005,0
D:\processed_faces\real\id19_0004,0
D:\processed_faces\real\574,0
D:\processed_faces\fake\id0_id21_0000,1
D:\processed_faces\fake\286_267,1
D:\processed_faces\real\06__outside_talking_still_laughing,0
D:\processed_faces\fake\id1_id6_0001,1
D:\processed_faces\fake\314_347,1
D:\processed_faces\real\21__kitchen_still,0
D:\processed_faces\real\id2_0005,0
D:\processed_faces\fake\id7_id11_0002,1
D:\processed_faces\real\362,0
D:\processed_faces\real\614,0
D:\processed_faces\real\558,0
D:\processed_faces\real\016,0
D:\processed_faces\fake\id4_id3_0004,1
D:\processed_faces\fake\id6_id28_0007,1
D:\processed_faces\fake\01_27__outside_talking_still_laughing__S2YCUY48,1
D:\processed_faces\fake\378_368,1
D:\processed_faces\real\091,0
D:\processed_faces\fake\id5_id61_0007,1
D:\processed_faces\real\13__talking_angry_couch,0
D:\processed_faces\real\773,0
D:\processed_faces\real\id59_0003,0
D:\processed_faces\fake\02_09__podium_speech_happy__HIH8YA82,1
D:\processed_faces\real\00296,0
D:\processed_faces\real\425,0
D:\processed_faces\fake\174_964,1
D:\processed_faces\fake\939_115,1
D:\processed_faces\fake\id0_id16_0003,1
D:\processed_faces\real\03__talking_angry_couch,0
D:\processed_faces\real\133,0
D:\processed_faces\fake\id3_id35_0003,1
D:\processed_faces\real\16__talking_against_wall,0
D:\processed_faces\real\00071,0
D:\processed_faces\real\569,0
D:\processed_faces\fake\125_038,1
D:\processed_faces\fake\390_709,1
D:\processed_faces\fake\02_01__meeting_serious__YVGY8LOK,1
D:\processed_faces\real\783,0
D:\processed_faces\real\009,0
D:\processed_faces\real\880,0
D:\processed_faces\fake\446_667,1
D:\processed_faces\fake\548_632,1
D:\processed_faces\real\id38_0006,0
D:\processed_faces\fake\id2_id30_0009,1
D:\processed_faces\real\00074,0
D:\processed_faces\real\00244,0
D:\processed_faces\real\294,0
D:\processed_faces\fake\347_314,1
D:\processed_faces\real\726,0
D:\processed_faces\real\id6_0004,0
D:\processed_faces\real\00231,0
D:\processed_faces\fake\593_577,1
D:\processed_faces\real\851,0
D:\processed_faces\fake\id4_id23_0007,1
D:\processed_faces\fake\606_567,1
D:\processed_faces\real\00096,0
D:\processed_faces\fake\id7_id12_0000,1
D:\processed_faces\fake\id0_id23_0005,1
D:\processed_faces\fake\id7_id13_0004,1
D:\processed_faces\fake\id3_id23_0009,1
D:\processed_faces\real\08__podium_speech_happy,0
D:\processed_faces\fake\087_081,1
D:\processed_faces\real\id49_0003,0
D:\processed_faces\fake\100_077,1
D:\processed_faces\fake\751_752,1
D:\processed_faces\fake\id6_id28_0008,1
D:\processed_faces\fake\id2_id31_0002,1
D:\processed_faces\fake\01_27__outside_talking_pan_laughing__S2YCUY48,1
D:\processed_faces\fake\id1_id26_0002,1
D:\processed_faces\real\id28_0004,0
D:\processed_faces\real\668,0
D:\processed_faces\real\346,0
D:\processed_faces\fake\01_11__walking_and_outside_surprised__18HYCC8C,1
D:\processed_faces\fake\898_922,1
D:\processed_faces\real\00028,0
D:\processed_faces\real\924,0
D:\processed_faces\real\id13_0007,0
D:\processed_faces\fake\id2_id17_0002,1
D:\processed_faces\real\067,0
D:\processed_faces\fake\475_265,1
D:\processed_faces\real\911,0
D:\processed_faces\fake\768_793,1
D:\processed_faces\real\266,0
D:\processed_faces\real\27__talking_angry_couch,0
D:\processed_faces\real\415,0
D:\processed_faces\fake\id5_id59_0001,1
D:\processed_faces\fake\066_062,1
D:\processed_faces\fake\id6_id21_0004,1
D:\processed_faces\real\895,0
D:\processed_faces\fake\id8_id0_0003,1
D:\processed_faces\real\id29_0004,0
D:\processed_faces\fake\462_467,1
D:\processed_faces\fake\id6_id2_0005,1
D:\processed_faces\fake\id7_id12_0002,1
D:\processed_faces\fake\02_09__outside_talking_still_laughing__9TDCEK1Q,1
D:\processed_faces\fake\id2_id21_0009,1
D:\processed_faces\real\id0_0002,0
D:\processed_faces\fake\610_692,1
D:\processed_faces\real\id48_0002,0
D:\processed_faces\fake\id4_id28_0008,1
D:\processed_faces\real\014,0
D:\processed_faces\real\622,0
D:\processed_faces\real\id60_0001,0
D:\processed_faces\fake\02_06__walking_outside_cafe_disgusted__GH8TGTBS,1
D:\processed_faces\real\24__walking_outside_cafe_disgusted,0
D:\processed_faces\fake\417_496,1
D:\processed_faces\real\368,0
D:\processed_faces\fake\id0_id3_0001,1
D:\processed_faces\fake\654_648,1
D:\processed_faces\fake\935_733,1
D:\processed_faces\fake\id4_id26_0002,1
D:\processed_faces\fake\id2_id3_0007,1
D:\processed_faces\fake\326_501,1
D:\processed_faces\fake\02_15__talking_against_wall__I8G2LWD1,1
D:\processed_faces\real\104,0
D:\processed_faces\real\00185,0
D:\processed_faces\fake\02_21__talking_angry_couch__Z0XHPQAR,1
D:\processed_faces\real\id27_0007,0
D:\processed_faces\real\930,0
D:\processed_faces\fake\543_559,1
D:\processed_faces\fake\781_806,1
D:\processed_faces\real\id58_0005,0
D:\processed_faces\fake\id0_id1_0009,1
D:\processed_faces\real\913,0
D:\processed_faces\real\416,0
D:\processed_faces\fake\930_763,1
D:\processed_faces\real\02__hugging_happy,0
D:\processed_faces\fake\id1_id0_0002,1
D:\processed_faces\fake\id4_id1_0001,1
D:\processed_faces\fake\02_15__outside_talking_pan_laughing__I8G2LWD1,1
D:\processed_faces\real\id4_0005,0
D:\processed_faces\real\21__walking_down_indoor_hall_disgust,0
D:\processed_faces\real\00105,0
D:\processed_faces\real\010,0
D:\processed_faces\fake\169_227,1
D:\processed_faces\fake\086_090,1
D:\processed_faces\real\21__walking_outside_cafe_disgusted,0
D:\processed_faces\real\947,0
D:\processed_faces\fake\858_861,1
D:\processed_faces\real\435,0
D:\processed_faces\fake\id3_id20_0000,1
D:\processed_faces\fake\633_529,1
D:\processed_faces\real\883,0
D:\processed_faces\real\00077,0
D:\processed_faces\fake\095_053,1
D:\processed_faces\fake\195_442,1
D:\processed_faces\real\728,0
D:\processed_faces\real\09__walk_down_hall_angry,0
D:\processed_faces\fake\id0_id20_0003,1
D:\processed_faces\real\197,0
D:\processed_faces\real\id47_0003,0
D:\processed_faces\real\00208,0
D:\processed_faces\real\00197,0
D:\processed_faces\real\723,0
D:\processed_faces\real\635,0
D:\processed_faces\fake\id3_id6_0000,1
D:\processed_faces\real\817,0
D:\processed_faces\fake\id0_id2_0004,1
D:\processed_faces\fake\id4_id37_0009,1
D:\processed_faces\real\27__meeting_serious,0
D:\processed_faces\fake\590_034,1
D:\processed_faces\real\id25_0001,0
D:\processed_faces\real\00064,0
D:\processed_faces\fake\01_15__hugging_happy__02HILKYO,1
D:\processed_faces\fake\740_796,1
D:\processed_faces\fake\739_865,1
D:\processed_faces\real\666,0
D:\processed_faces\fake\id7_id10_0009,1
D:\processed_faces\real\673,0
D:\processed_faces\fake\520_542,1
D:\processed_faces\real\719,0
D:\processed_faces\real\id27_0004,0
D:\processed_faces\fake\02_15__walking_and_outside_surprised__HTG660F8,1
D:\processed_faces\fake\712_716,1
D:\processed_faces\fake\818_820,1
D:\processed_faces\real\00176,0
D:\processed_faces\real\id40_0006,0
D:\processed_faces\real\id19_0008,0
D:\processed_faces\real\00221,0
D:\processed_faces\real\944,0
D:\processed_faces\fake\001_870,1
D:\processed_faces\real\id8_0007,0
D:\processed_faces\real\098,0
D:\processed_faces\fake\id6_id16_0004,1
D:\processed_faces\fake\id3_id4_0005,1
D:\processed_faces\fake\id1_id16_0005,1
D:\processed_faces\fake\id2_id21_0000,1
D:\processed_faces\fake\980_992,1
D:\processed_faces\fake\id6_id30_0008,1
D:\processed_faces\real\761,0
D:\processed_faces\real\00277,0
D:\processed_faces\fake\897_969,1
D:\processed_faces\real\946,0
D:\processed_faces\real\00124,0
D:\processed_faces\real\id33_0005,0
D:\processed_faces\fake\id6_id28_0004,1
D:\processed_faces\fake\149_152,1
D:\processed_faces\real\00196,0
D:\processed_faces\fake\id5_id60_0000,1
D:\processed_faces\fake\id3_id30_0006,1
D:\processed_faces\fake\451_449,1
D:\processed_faces\fake\id2_id23_0000,1
D:\processed_faces\real\169,0
D:\processed_faces\real\758,0
D:\processed_faces\real\869,0
D:\processed_faces\fake\id8_id3_0008,1
D:\processed_faces\real\00266,0
D:\processed_faces\real\610,0
D:\processed_faces\real\15__walking_and_outside_surprised,0
D:\processed_faces\real\id25_0010,0
D:\processed_faces\real\id45_0003,0
D:\processed_faces\real\470,0
D:\processed_faces\fake\070_057,1
D:\processed_faces\fake\809_799,1
D:\processed_faces\real\00001,0
D:\processed_faces\real\981,0
D:\processed_faces\fake\id3_id17_0004,1
D:\processed_faces\fake\03_01__talking_against_wall__JZUXXFRB,1
D:\processed_faces\fake\171_173,1
D:\processed_faces\fake\145_299,1
D:\processed_faces\fake\02_06__walking_outside_cafe_disgusted__37DH75GQ,1
D:\processed_faces\fake\528_510,1
D:\processed_faces\fake\396_272,1
D:\processed_faces\fake\02_09__walking_down_street_outside_angry__HIH8YA82,1
D:\processed_faces\fake\871_814,1
D:\processed_faces\real\774,0
D:\processed_faces\real\798,0
D:\processed_faces\real\502,0
D:\processed_faces\real\00278,0
D:\processed_faces\real\id48_0006,0
D:\processed_faces\fake\01_20__hugging_happy__6UBMLXK3,1
D:\processed_faces\real\447,0
D:\processed_faces\real\286,0
D:\processed_faces\real\793,0
D:\processed_faces\fake\01_03__kitchen_still__JZUXXFRB,1
D:\processed_faces\real\560,0
D:\processed_faces\real\126,0
D:\processed_faces\real\903,0
D:\processed_faces\real\500,0
D:\processed_faces\real\12__talking_angry_couch,0
D:\processed_faces\fake\02_15__walk_down_hall_angry__TN2CWM3K,1
D:\processed_faces\fake\id2_id35_0006,1
D:\processed_faces\real\id6_0009,0
D:\processed_faces\fake\218_239,1
D:\processed_faces\real\087,0
D:\processed_faces\fake\id1_id20_0000,1
D:\processed_faces\fake\02_01__exit_phone_room__YVGY8LOK,1
D:\processed_faces\real\180,0
D:\processed_faces\real\111,0
D:\processed_faces\fake\id2_id16_0000,1
D:\processed_faces\real\id20_0008,0
D:\processed_faces\real\205,0
D:\processed_faces\real\00285,0
D:\processed_faces\real\919,0
D:\processed_faces\real\586,0
D:\processed_faces\fake\817_827,1
D:\processed_faces\real\id21_0002,0
D:\processed_faces\real\id32_0006,0
D:\processed_faces\real\id28_0002,0
D:\processed_faces\fake\id5_id59_0007,1
D:\processed_faces\real\734,0
D:\processed_faces\real\110,0
D:\processed_faces\real\02__outside_talking_pan_laughing,0
D:\processed_faces\real\378,0
D:\processed_faces\real\id35_0006,0
D:\processed_faces\fake\01_27__walking_outside_cafe_disgusted__ZYCZ30C0,1
D:\processed_faces\fake\02_04__secret_conversation__8CH7R4LW,1
D:\processed_faces\real\00004,0
D:\processed_faces\fake\943_942,1
D:\processed_faces\fake\794_779,1
D:\processed_faces\fake\03_02__walking_down_street_outside_angry__QH3Y0IG0,1
D:\processed_faces\real\392,0
D:\processed_faces\fake\id6_id17_0000,1
D:\processed_faces\fake\559_543,1
D:\processed_faces\fake\228_289,1
D:\processed_faces\fake\496_417,1
D:\processed_faces\real\20__walking_down_indoor_hall_disgust,0
D:\processed_faces\fake\036_035,1
D:\processed_faces\real\id43_0004,0
D:\processed_faces\fake\777_745,1
D:\processed_faces\real\id9_0003,0
D:\processed_faces\fake\id3_id4_0004,1
D:\processed_faces\fake\726_713,1
D:\processed_faces\real\970,0
D:\processed_faces\fake\id4_id6_0007,1
D:\processed_faces\fake\id2_id17_0006,1
D:\processed_faces\fake\308_388,1
D:\processed_faces\real\id45_0005,0
D:\processed_faces\fake\755_759,1
D:\processed_faces\real\01__podium_speech_happy,0
D:\processed_faces\fake\id5_id60_0007,1
D:\processed_faces\real\id36_0005,0
D:\processed_faces\real\069,0
D:\processed_faces\fake\211_177,1
D:\processed_faces\real\251,0
D:\processed_faces\real\685,0
D:\processed_faces\real\269,0
D:\processed_faces\real\894,0
D:\processed_faces\real\422,0
D:\processed_faces\real\034,0
D:\processed_faces\fake\id2_id6_0001,1
D:\processed_faces\real\00268,0
D:\processed_faces\real\184,0
D:\processed_faces\fake\id1_id28_0004,1
D:\processed_faces\real\279,0
D:\processed_faces\fake\707_705,1
D:\processed_faces\real\137,0
D:\processed_faces\real\321,0
D:\processed_faces\real\id35_0004,0
D:\processed_faces\real\id50_0000,0
D:\processed_faces\fake\148_133,1
D:\processed_faces\fake\id3_id0_0004,1
D:\processed_faces\real\26__podium_speech_happy,0
D:\processed_faces\fake\02_27__walking_outside_cafe_disgusted__3L1MLH3D,1
D:\processed_faces\fake\id3_id9_0003,1
D:\processed_faces\real\808,0
D:\processed_faces\fake\194_235,1
D:\processed_faces\fake\847_906,1
D:\processed_faces\real\id32_0002,0
D:\processed_faces\fake\862_047,1
D:\processed_faces\fake\404_429,1
D:\processed_faces\fake\id2_id37_0005,1
D:\processed_faces\real\187,0
D:\processed_faces\real\825,0
D:\processed_faces\fake\02_15__talking_against_wall__MZWH8ATN,1
D:\processed_faces\fake\562_626,1
D:\processed_faces\fake\03_01__podium_speech_happy__JZUXXFRB,1
D:\processed_faces\real\858,0
D:\processed_faces\real\23__secret_conversation,0
D:\processed_faces\fake\id1_id23_0009,1
D:\processed_faces\fake\id1_id20_0007,1
D:\processed_faces\real\469,0
D:\processed_faces\real\188,0
D:\processed_faces\real\00054,0
D:\processed_faces\real\id29_0008,0
D:\processed_faces\real\00149,0
D:\processed_faces\fake\id2_id4_0000,1
D:\processed_faces\real\id46_0007,0
D:\processed_faces\real\075,0
D:\processed_faces\real\13__kitchen_still,0
D:\processed_faces\real\09__talking_against_wall,0
D:\processed_faces\fake\521_517,1
D:\processed_faces\real\27__outside_talking_still_laughing,0
D:\processed_faces\fake\id9_id0_0008,1
D:\processed_faces\fake\01_27__outside_talking_still_laughing__ZYCZ30C0,1
D:\processed_faces\fake\443_514,1
D:\processed_faces\fake\id3_id35_0008,1
D:\processed_faces\fake\01_20__meeting_serious__6UBMLXK3,1
D:\processed_faces\fake\946_049,1
D:\processed_faces\fake\02_18__outside_talking_still_laughing__OXMEEFUQ,1
D:\processed_faces\fake\351_346,1
D:\processed_faces\fake\646_643,1
D:\processed_faces\real\974,0
D:\processed_faces\fake\531_549,1
D:\processed_faces\fake\03_01__meeting_serious__JZUXXFRB,1
D:\processed_faces\fake\id2_id0_0006,1
D:\processed_faces\fake\03_01__kitchen_pan__JZUXXFRB,1
D:\processed_faces\fake\083_213,1
D:\processed_faces\real\id23_0000,0
D:\processed_faces\real\02__talking_angry_couch,0
D:\processed_faces\fake\580_524,1
D:\processed_faces\fake\102_114,1
D:\processed_faces\real\00193,0
D:\processed_faces\real\606,0
D:\processed_faces\real\00267,0
D:\processed_faces\real\519,0
D:\processed_faces\real\id7_0005,0
D:\processed_faces\real\649,0
D:\processed_faces\fake\id2_id28_0003,1
D:\processed_faces\fake\id7_id13_0002,1
D:\processed_faces\fake\id0_id26_0002,1
D:\processed_faces\real\id25_0007,0
D:\processed_faces\fake\id2_id6_0005,1
D:\processed_faces\real\00209,0
D:\processed_faces\fake\id4_id0_0009,1
D:\processed_faces\fake\id5_id59_0004,1
D:\processed_faces\fake\793_768,1
D:\processed_faces\real\id20_0001,0
D:\processed_faces\fake\668_664,1
D:\processed_faces\real\781,0
D:\processed_faces\real\00229,0
D:\processed_faces\real\id53_0005,0
D:\processed_faces\real\978,0
D:\processed_faces\real\id10_0008,0
D:\processed_faces\fake\198_106,1
D:\processed_faces\fake\840_800,1
D:\processed_faces\real\28__kitchen_still,0
D:\processed_faces\real\id41_0005,0
D:\processed_faces\real\id59_0005,0
D:\processed_faces\real\id27_0008,0
D:\processed_faces\real\id48_0005,0
D:\processed_faces\fake\02_06__walk_down_hall_angry__MKZTXQ2T,1
D:\processed_faces\fake\02_01__secret_conversation__YVGY8LOK,1
D:\processed_faces\real\705,0
D:\processed_faces\real\id19_0007,0
D:\processed_faces\fake\327_329,1
D:\processed_faces\real\11__kitchen_pan,0
D:\processed_faces\real\id50_0008,0
D:\processed_faces\real\573,0
D:\processed_faces\real\id9_0002,0
D:\processed_faces\real\516,0
D:\processed_faces\fake\id1_id16_0004,1
D:\processed_faces\real\559,0
D:\processed_faces\fake\id0_id26_0008,1
D:\processed_faces\real\00129,0
D:\processed_faces\fake\id6_id3_0004,1
D:\processed_faces\fake\511_472,1
D:\processed_faces\fake\759_755,1
D:\processed_faces\real\945,0
D:\processed_faces\fake\id0_id17_0000,1
D:\processed_faces\fake\02_27__outside_talking_pan_laughing__XFSH3BW7,1
D:\processed_faces\real\20__walk_down_hall_angry,0
D:\processed_faces\real\072,0
D:\processed_faces\fake\237_236,1
D:\processed_faces\real\id59_0008,0
D:\processed_faces\real\00194,0
D:\processed_faces\real\18__outside_talking_pan_laughing,0
D:\processed_faces\fake\241_210,1
D:\processed_faces\real\00122,0
D:\processed_faces\real\id22_0002,0
D:\processed_faces\fake\03_06__podium_speech_happy__1IXGY2FK,1
D:\processed_faces\real\id27_0000,0
D:\processed_faces\fake\663_231,1
D:\processed_faces\real\256,0
D:\processed_faces\real\494,0
D:\processed_faces\fake\id0_id9_0002,1
D:\processed_faces\real\792,0
D:\processed_faces\fake\id2_id9_0006,1
D:\processed_faces\real\159,0
D:\processed_faces\fake\id1_id28_0000,1
D:\processed_faces\real\603,0
D:\processed_faces\real\id52_0007,0
D:\processed_faces\fake\832_762,1
D:\processed_faces\real\01__kitchen_still,0
D:\processed_faces\real\28__outside_talking_pan_laughing,0
D:\processed_faces\fake\306_278,1
D:\processed_faces\fake\02_15__secret_conversation__MZWH8ATN,1
D:\processed_faces\fake\504_502,1
D:\processed_faces\fake\826_833,1
D:\processed_faces\real\id28_0007,0
D:\processed_faces\fake\02_03__walking_outside_cafe_disgusted__GYX5OFTD,1
D:\processed_faces\fake\id3_id28_0005,1
D:\processed_faces\real\030,0
D:\processed_faces\real\747,0
D:\processed_faces\fake\02_07__talking_against_wall__1ZE4HC06,1
D:\processed_faces\fake\01_03__meeting_serious__JZUXXFRB,1
D:\processed_faces\real\28__talking_angry_couch,0
D:\processed_faces\fake\id0_id23_0009,1
D:\processed_faces\fake\359_317,1
D:\processed_faces\fake\02_25__walking_and_outside_surprised__Z7FQ69VP,1
D:\processed_faces\fake\433_498,1
D:\processed_faces\real\20__talking_against_wall,0
D:\processed_faces\fake\id3_id23_0000,1
D:\processed_faces\fake\id1_id2_0003,1
D:\processed_faces\fake\398_457,1
D:\processed_faces\fake\119_123,1
D:\processed_faces\real\139,0
D:\processed_faces\real\927,0
D:\processed_faces\fake\342_416,1
D:\processed_faces\real\460,0
D:\processed_faces\fake\570_624,1
D:\processed_faces\real\811,0
D:\processed_faces\real\528,0
D:\processed_faces\real\00220,0
D:\processed_faces\fake\165_137,1
D:\processed_faces\fake\id1_id21_0000,1
D:\processed_faces\real\255,0
D:\processed_faces\real\908,0
D:\processed_faces\fake\01_02__walk_down_hall_angry__YVGY8LOK,1
D:\processed_faces\real\570,0
D:\processed_faces\fake\id1_id3_0004,1
D:\processed_faces\real\417,0
D:\processed_faces\fake\600_505,1
D:\processed_faces\real\id8_0006,0
D:\processed_faces\fake\797_844,1
D:\processed_faces\real\041,0
D:\processed_faces\real\595,0
D:\processed_faces\real\361,0
D:\processed_faces\real\18__exit_phone_room,0
D:\processed_faces\fake\02_07__walking_and_outside_surprised__1VMZUH1W,1
D:\processed_faces\real\id38_0005,0
D:\processed_faces\fake\id1_id4_0006,1
D:\processed_faces\fake\id1_id21_0002,1
D:\processed_faces\real\id31_0006,0
D:\processed_faces\real\765,0
D:\processed_faces\real\372,0
D:\processed_faces\fake\992_980,1
D:\processed_faces\real\00215,0
D:\processed_faces\real\01__kitchen_pan,0
D:\processed_faces\fake\id3_id2_0006,1
D:\processed_faces\real\352,0
D:\processed_faces\fake\02_13__exit_phone_room__PLNVLO74,1
D:\processed_faces\fake\id3_id35_0002,1
D:\processed_faces\real\047,0
D:\processed_faces\real\541,0
D:\processed_faces\real\id16_0008,0
D:\processed_faces\real\965,0
D:\processed_faces\fake\929_962,1
D:\processed_faces\real\id5_0002,0
D:\processed_faces\fake\311_387,1
D:\processed_faces\real\306,0
D:\processed_faces\fake\051_332,1
D:\processed_faces\fake\799_809,1
D:\processed_faces\real\00083,0
D:\processed_faces\real\id21_0005,0
D:\processed_faces\fake\309_303,1
D:\processed_faces\real\674,0
D:\processed_faces\real\id12_0006,0
D:\processed_faces\real\996,0
D:\processed_faces\real\223,0
D:\processed_faces\fake\id9_id0_0007,1
D:\processed_faces\real\954,0
D:\processed_faces\fake\699_734,1
D:\processed_faces\real\00055,0
D:\processed_faces\real\400,0
D:\processed_faces\fake\014_790,1
D:\processed_faces\fake\id1_id9_0004,1
D:\processed_faces\real\id30_0005,0
D:\processed_faces\real\04__talking_against_wall,0
D:\processed_faces\fake\id3_id23_0008,1
D:\processed_faces\real\662,0
D:\processed_faces\real\00002,0
D:\processed_faces\real\989,0
D:\processed_faces\fake\id9_id1_0005,1
D:\processed_faces\real\id22_0008,0
D:\processed_faces\fake\683_607,1
D:\processed_faces\fake\895_915,1
D:\processed_faces\fake\id1_id6_0002,1
D:\processed_faces\real\00141,0
D:\processed_faces\real\900,0
D:\processed_faces\real\id2_0004,0
D:\processed_faces\fake\id1_id4_0007,1
D:\processed_faces\real\id60_0007,0
D:\processed_faces\fake\id3_id20_0001,1
D:\processed_faces\fake\id6_id9_0005,1
D:\processed_faces\fake\422_695,1
D:\processed_faces\real\458,0
D:\processed_faces\real\00262,0
D:\processed_faces\real\id37_0000,0
D:\processed_faces\fake\859_843,1
D:\processed_faces\fake\843_859,1
D:\processed_faces\fake\id3_id4_0006,1
D:\processed_faces\fake\id6_id9_0008,1
D:\processed_faces\real\689,0
D:\processed_faces\fake\id1_id35_0005,1
D:\processed_faces\fake\id1_id31_0001,1
D:\processed_faces\real\id60_0002,0
D:\processed_faces\real\id55_0003,0
D:\processed_faces\real\id22_0000,0
D:\processed_faces\fake\565_589,1
D:\processed_faces\fake\318_334,1
D:\processed_faces\real\id26_0009,0
D:\processed_faces\real\17__outside_talking_still_laughing,0
D:\processed_faces\fake\id2_id28_0000,1
D:\processed_faces\real\140,0
D:\processed_faces\real\id47_0007,0
D:\processed_faces\fake\071_054,1
D:\processed_faces\fake\03_06__talking_against_wall__1IXGY2FK,1
D:\processed_faces\real\27__walking_down_street_outside_angry,0
D:\processed_faces\real\id13_0001,0
D:\processed_faces\real\id51_0000,0
D:\processed_faces\fake\060_088,1
D:\processed_faces\real\27__exit_phone_room,0
D:\processed_faces\fake\id3_id37_0007,1
D:\processed_faces\real\497,0
D:\processed_faces\fake\421_423,1
D:\processed_faces\fake\id3_id1_0008,1
D:\processed_faces\fake\id0_id23_0001,1
D:\processed_faces\fake\id2_id23_0001,1
D:\processed_faces\fake\id6_id1_0002,1
D:\processed_faces\real\401,0
D:\processed_faces\fake\id2_id17_0008,1
D:\processed_faces\fake\02_09__walking_down_street_outside_angry__6KUOFMZW,1
D:\processed_faces\real\id52_0004,0
D:\processed_faces\real\116,0
D:\processed_faces\fake\id8_id2_0008,1
D:\processed_faces\fake\01_03__outside_talking_pan_laughing__ISF9SP4G,1
D:\processed_faces\fake\id8_id7_0008,1
D:\processed_faces\real\038,0
D:\processed_faces\real\00241,0
D:\processed_faces\real\00279,0
